symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ZYX	-2.1873	9.1192	-9.864	5.7261e-06	0.00075955	4.6114
TECR	-2.2349	7.2139	-9.8163	5.9511e-06	0.0007717	4.5727
ZNF428	-1.6867	6.0052	-9.8068	5.9968e-06	0.0007717	4.5651
VAMP5	0.99343	6.2126	9.7627	6.2152e-06	0.00078805	4.5292
LY86	-1.8516	8.6329	-9.6445	6.8453e-06	0.00085536	4.4321
VPS52	-1.0406	7.3519	-9.4944	7.7491e-06	0.00095447	4.3072
TRIM28	-0.91498	8.7342	-9.4222	8.2304e-06	0.00099948	4.2464
SUPT6H	-0.70156	6.8171	-9.3625	8.6534e-06	0.0010327	4.1958
RPS15A	0.78511	9.4916	9.3502	8.7437e-06	0.0010327	4.1853
CSF1R	-3.1062	7.9147	-9.3147	9.0096e-06	0.0010396	4.155
SART1	-0.99692	6.2494	-9.302	9.1067e-06	0.0010396	4.1442
SLC7A8	-1.7544	8.4057	-9.2942	9.1673e-06	0.0010396	4.1375
BCL2A1	4.6891	7.9136	9.2792	9.2846e-06	0.0010396	4.1246
ALDH6A1	-1.5464	5.5871	-9.2474	9.5391e-06	0.0010492	4.0972
MEA1	-0.7558	6.5405	-9.2382	9.6135e-06	0.0010492	4.0894
SLC2A3	2.4976	9.719	9.182	1.0086e-05	0.0010869	4.0408
WBP2	-1.2107	9.3172	-9.1676	1.0211e-05	0.0010869	4.0283
IFRD1	2.8714	6.8577	9.1119	1.0712e-05	0.0011263	3.9798
GRAMD4	-1.9987	7.0187	-9.015	1.1648e-05	0.00121	3.8947
TPP1	-0.98974	9.534	-8.9829	1.1978e-05	0.0012295	3.8664
MOAP1	1.6158	7.1335	8.9215	1.2638e-05	0.0012819	3.8119
ATM	-1.7505	5.6545	-8.8769	1.3143e-05	0.0012828	3.772
RARRES3	1.7403	6.9304	8.8584	1.3359e-05	0.0012828	3.7554
SEPP1	-4.771	7.1981	-8.8582	1.3361e-05	0.0012828	3.7553
BHLHE40	1.5874	8.9996	8.8572	1.3372e-05	0.0012828	3.7544
GPSM3	-1.7693	7.5795	-8.8557	1.3391e-05	0.0012828	3.753
ARAP1	-1.6011	8.2668	-8.8263	1.3743e-05	0.0012977	3.7266
CAMK1	-1.5098	6.7396	-8.806	1.3991e-05	0.0012977	3.7083
FEM1C	0.97348	6.0701	8.8055	1.3998e-05	0.0012977	3.7078
IFFO1	-1.3211	8.0565	-8.7897	1.4195e-05	0.001302	3.6936
ETS2	1.4075	7.1569	8.759	1.4588e-05	0.0013189	3.6658
PRPF8	-0.84356	7.9574	-8.7477	1.4735e-05	0.0013189	3.6556
WBP1L	-0.98669	7.9764	-8.7308	1.4959e-05	0.0013189	3.6401
ARHGDIA	-1.4915	9.2315	-8.7284	1.4991e-05	0.0013189	3.638
P4HA1	1.9534	8.1279	8.6805	1.5647e-05	0.0013579	3.5943
VAV1	-1.336	6.9226	-8.6732	1.5749e-05	0.0013579	3.5877
ARHGEF6	-1.342	6.9752	-8.6506	1.6072e-05	0.0013639	3.567
POR	-1.172	7.998	-8.6458	1.6142e-05	0.0013639	3.5625
CD97	1.2933	8.9332	8.6333	1.6325e-05	0.0013639	3.551
CLDND1	1.377	8.4805	8.6247	1.6452e-05	0.0013639	3.5431
MTHFD2	2.0439	9.8107	8.6125	1.6633e-05	0.0013643	3.532
FOLR2	-1.8616	8.0085	-8.6032	1.6773e-05	0.0013643	3.5234
HNMT	-2.0963	6.1099	-8.567	1.7331e-05	0.0013965	3.4899
PIP5K1C	-0.84405	6.8851	-8.5349	1.7844e-05	0.0014245	3.4602
S100A10	1.6169	11.03	8.5084	1.828e-05	0.0014459	3.4355
HIRA	-1.3427	6.1912	-8.4752	1.8841e-05	0.0014768	3.4045
HLA-DMB	-1.3656	10.625	-8.4592	1.912e-05	0.0014852	3.3895
SERTAD2	2.0768	7.7524	8.414	1.9928e-05	0.0015341	3.3471
RHOG	-1.2567	8.9499	-8.3998	2.019e-05	0.0015374	3.3338
TBC1D9B	-0.99981	7.6909	-8.388	2.0411e-05	0.0015374	3.3226
DDB1	-1.3665	8.0323	-8.3815	2.0534e-05	0.0015374	3.3164
F13A1	-4.1529	8.3504	-8.366	2.083e-05	0.0015374	3.3018
TBC1D2B	-0.9769	8.1791	-8.3378	2.1379e-05	0.0015374	3.2751
ANKRD28	2.1717	4.8555	8.3345	2.1445e-05	0.0015374	3.272
PHLDA2	1.5822	7.3358	8.329	2.1554e-05	0.0015374	3.2668
CD55	3.2343	7.6749	8.3267	2.1601e-05	0.0015374	3.2646
FAM89B	-1.0084	7.663	-8.3222	2.1691e-05	0.0015374	3.2603
BSG	-1.5774	8.6579	-8.3191	2.1753e-05	0.0015374	3.2574
MUT	-0.69847	5.8967	-8.283	2.2495e-05	0.0015768	3.223
GK	1.0293	7.0658	8.2712	2.2745e-05	0.0015815	3.2117
NUP50	1.1087	5.5406	8.256	2.3069e-05	0.0015912	3.1971
EIF1	1.3391	9.2198	8.2254	2.3739e-05	0.0016244	3.1678
IDH2	-1.5458	7.0053	-8.1906	2.4526e-05	0.0016651	3.1343
ADD1	-0.83194	7.4645	-8.1732	2.493e-05	0.0016714	3.1175
NAGLU	-1.3331	6.4686	-8.1614	2.5208e-05	0.0016714	3.1061
SUPT5H	-0.75678	7.1889	-8.1593	2.5258e-05	0.0016714	3.1041
RPL36AL	0.763	10.908	8.1509	2.5458e-05	0.0016714	3.096
EXOC3	-0.90433	6.9829	-8.145	2.5601e-05	0.0016714	3.0902
EIF2A	1.598	5.6481	8.1375	2.5782e-05	0.0016714	3.083
CLK1	1.6009	7.8544	8.128	2.6014e-05	0.0016738	3.0738
TKT	-1.4747	9.3264	-8.1081	2.6511e-05	0.0016931	3.0544
NID1	-1.4618	5.886	-8.0909	2.6944e-05	0.0017082	3.0377
ADAM19	1.0303	7.9403	8.0495	2.8027e-05	0.0017589	2.9972
CD1C	1.5151	6.7549	8.0448	2.8152e-05	0.0017589	2.9926
PRKCSH	-1.4603	6.8383	-8.0243	2.8708e-05	0.0017807	2.9725
DGKZ	-0.94123	7.3845	-7.9962	2.9491e-05	0.0018162	2.9448
TNFAIP2	-1.4084	9.5745	-7.9834	2.9853e-05	0.0018165	2.9322
CPVL	-1.4758	9.0938	-7.9812	2.9918e-05	0.0018165	2.93
HCK	-1.2041	8.6222	-7.9627	3.0452e-05	0.0018361	2.9118
EIF2S2	0.75291	7.8408	7.9544	3.0697e-05	0.001838	2.9036
ZNF710	-1.1169	6.2866	-7.9286	3.1466e-05	0.0018506	2.878
MTA1	-1.5336	5.6057	-7.9281	3.1483e-05	0.0018506	2.8775
RGS19	-1.2789	8.0456	-7.9258	3.1552e-05	0.0018506	2.8753
MYO9B	-1.0292	7.9039	-7.882	3.2916e-05	0.0019105	2.8316
GABARAP	-0.80857	10.522	-7.8735	3.3189e-05	0.0019105	2.8231
RBM42	-1.0607	6.511	-7.872	3.3238e-05	0.0019105	2.8216
RPS6KA2	-1.2279	6.5308	-7.8628	3.3535e-05	0.0019148	2.8124
STXBP2	-1.4226	7.054	-7.8407	3.4261e-05	0.0019434	2.7904
NMB	1.8353	6.4253	7.8312	3.4579e-05	0.0019486	2.7809
DUSP4	2.5768	5.4947	7.787	3.6104e-05	0.0020214	2.7363
AKAP11	-1.7189	6.0639	-7.7606	3.7049e-05	0.0020609	2.7097
RIOK3	0.83939	5.6195	7.7425	3.7713e-05	0.0020793	2.6913
DBF4	1.1846	5.0003	7.7384	3.7863e-05	0.0020793	2.6873
RGS13	1.9399	3.751	7.7237	3.8414e-05	0.0020963	2.6723
HDAC6	-0.60937	5.9779	-7.7021	3.9239e-05	0.0021278	2.6504
ACP5	-1.8557	9.5533	-7.6871	3.9826e-05	0.0021362	2.6351
NAGPA	-0.83055	7.3691	-7.6845	3.9927e-05	0.0021362	2.6325
AOAH	-1.566	7.9066	-7.6792	4.0137e-05	0.0021362	2.627
SRSF7	-1.6279	6.1846	-7.6676	4.06e-05	0.002145	2.6152
AKR7A2	-1.2356	7.0774	-7.6626	4.08e-05	0.002145	2.6101
MAN2C1	-0.85374	7.251	-7.6462	4.147e-05	0.002167	2.5933
GDI1	-0.57967	9.419	-7.6267	4.2278e-05	0.002192	2.5733
TNFRSF1A	-1.0216	8.9617	-7.6124	4.2883e-05	0.002192	2.5587
SPINK1	3.2723	8.3267	7.6108	4.2953e-05	0.002192	2.557
MLF2	-1.0932	7.0741	-7.6105	4.2965e-05	0.002192	2.5567
OAS2	-0.8743	7.2583	-7.5907	4.3821e-05	0.0022225	2.5363
SGSH	-1.0182	8.2024	-7.5603	4.5173e-05	0.0022776	2.5049
SHOC2	1.0267	8.2568	7.5514	4.5575e-05	0.0022776	2.4957
TMED5	1.2932	8.9471	7.5487	4.57e-05	0.0022776	2.4929
CYTIP	1.688	6.7491	7.5336	4.6396e-05	0.0022908	2.4772
TMED2	0.79322	10.026	7.5314	4.6496e-05	0.0022908	2.475
TGM2	1.2777	6.6299	7.5075	4.7626e-05	0.0023282	2.4502
RAB11B	-1.4129	5.3076	-7.504	4.7794e-05	0.0023282	2.4465
ASMTL	-1.2031	6.758	-7.4787	4.903e-05	0.0023582	2.4201
GNAI2	-1.6816	10.522	-7.4762	4.9153e-05	0.0023582	2.4175
FCGBP	-2.4054	6.2818	-7.4746	4.9232e-05	0.0023582	2.4159
TADA3	-1.0874	7.9231	-7.4652	4.9701e-05	0.0023675	2.4061
CRIP1	2.8811	9.517	7.4298	5.1509e-05	0.0024402	2.369
PLXND1	-1.5579	8.6297	-7.406	5.2771e-05	0.0024863	2.344
UBE2J1	1.544	7.826	7.3566	5.5494e-05	0.0026004	2.2919
H1F0	-1.3115	5.7004	-7.3503	5.585e-05	0.0026029	2.2852
RAB1A	1.0085	8.9997	7.3316	5.6932e-05	0.0026159	2.2654
TGIF1	1.5944	8.7186	7.3289	5.7088e-05	0.0026159	2.2625
ZNF185	-1.0435	5.6906	-7.3273	5.718e-05	0.0026159	2.2608
JUN	1.5223	6.5803	7.3201	5.7606e-05	0.0026159	2.2532
CLEC11A	-0.73996	7.6374	-7.3194	5.7645e-05	0.0026159	2.2524
TSC2	-0.80864	7.3639	-7.3103	5.8188e-05	0.0026267	2.2427
ADORA2B	2.586	7.3784	7.3029	5.8627e-05	0.0026313	2.2349
PYGL	-1.9093	6.6755	-7.2984	5.8902e-05	0.0026313	2.2301
SLC31A2	1.2148	8.9731	7.2761	6.0264e-05	0.0026783	2.2064
CTSA	-1.0001	9.5573	-7.2447	6.2251e-05	0.0027445	2.1727
DNAJB1	1.4192	8.863	7.2379	6.2691e-05	0.0027445	2.1654
MAP1LC3B	0.6438	7.3756	7.2354	6.2849e-05	0.0027445	2.1628
MAZ	-1.0536	7.6238	-7.232	6.3071e-05	0.0027445	2.1592
SF3A1	-0.88237	7.5327	-7.2278	6.3345e-05	0.0027445	2.1547
HCLS1	-1.1529	9.0612	-7.1995	6.5228e-05	0.002812	2.1243
GEM	4.0895	7.0322	7.1652	6.7597e-05	0.0028996	2.0872
MYO1F	-1.2433	8.6308	-7.1519	6.854e-05	0.0029255	2.0729
CAPZB	-1.3665	9.9502	-7.1309	7.0063e-05	0.0029758	2.05
RTN1	-1.4045	5.382	-7.12	7.0865e-05	0.002985	2.0382
NUDT3	-0.60058	8.0522	-7.1185	7.0972e-05	0.002985	2.0366
SIGLEC7	-1.3439	5.9529	-7.0958	7.2682e-05	0.003042	2.0119
ITGB7	1.0393	6.3781	7.0776	7.4086e-05	0.0030789	1.992
LSP1	-1.6815	8.6456	-7.0751	7.4276e-05	0.0030789	1.9894
OAZ2	-1.6519	7.7803	-7.0434	7.6802e-05	0.0031478	1.9546
HCAR3	3.013	7.4262	7.0418	7.6927e-05	0.0031478	1.9529
ATF4	1.8121	10.086	7.0405	7.7034e-05	0.0031478	1.9515
TUBB2A	1.4083	8.5314	7.0157	7.908e-05	0.0031946	1.9243
CLPTM1	-0.9964	6.9478	-7.0132	7.9286e-05	0.0031946	1.9215
NUPL1	1.2383	6.1107	7.0132	7.9292e-05	0.0031946	1.9215
CCNA1	0.80698	3.9183	6.9907	8.1204e-05	0.0032135	1.8967
CRADD	1.858	7.3989	6.988	8.1435e-05	0.0032135	1.8937
ABL2	0.97686	5.8579	6.9835	8.1821e-05	0.0032135	1.8888
UROS	-0.87387	7.2675	-6.9833	8.1838e-05	0.0032135	1.8886
AP1B1	-1.3392	10.09	-6.9796	8.2164e-05	0.0032135	1.8845
CYP1A1	1.8617	6.1928	6.9784	8.2264e-05	0.0032135	1.8832
CHD1	0.9466	7.4991	6.9772	8.2369e-05	0.0032135	1.8819
CD37	-1.6894	9.7994	-6.963	8.3626e-05	0.0032478	1.8661
SRD5A1	0.83596	5.7444	6.9542	8.4416e-05	0.0032638	1.8564
BTK	-0.77099	6.8533	-6.9236	8.7209e-05	0.0033568	1.8225
PLD2	-0.56012	6.3933	-6.9162	8.7899e-05	0.0033678	1.8143
RHEB	1.3833	8.0351	6.9122	8.8277e-05	0.0033678	1.8098
NUCB1	-1.1534	8.5687	-6.8891	9.0485e-05	0.0034174	1.7841
GLA	1.0052	9.2751	6.8874	9.0658e-05	0.0034174	1.7821
TYK2	-1.1519	6.6179	-6.8862	9.0767e-05	0.0034174	1.7809
BZW1	1.3013	9.3607	6.8702	9.2343e-05	0.0034548	1.763
NUDT1	-0.99574	7.2086	-6.868	9.256e-05	0.0034548	1.7605
MLEC	-1.3089	7.5979	-6.8564	9.3725e-05	0.0034791	1.7475
RPL24	0.62503	10.943	6.8535	9.4019e-05	0.0034791	1.7442
AGRN	-0.72262	8.0858	-6.8394	9.5454e-05	0.0035066	1.7285
PPFIA1	0.95971	7.6629	6.8382	9.5576e-05	0.0035066	1.7272
CTNNAL1	1.4015	5.9884	6.8322	9.6196e-05	0.0035144	1.7204
HK2	1.1105	7.2203	6.8281	9.6621e-05	0.003515	1.7158
IDH3G	-0.89979	7.2601	-6.8228	9.7175e-05	0.0035204	1.7099
MCM5	-0.85644	5.6948	-6.809	9.864e-05	0.0035585	1.6943
HES1	2.1137	7.1145	6.8001	9.9592e-05	0.0035778	1.6843
URM1	-0.78805	7.1523	-6.7921	0.00010045	0.0035939	1.6753
KLF10	1.7602	8.264	6.7814	0.00010163	0.0036207	1.6632
GNPDA1	-0.80578	8.8471	-6.7774	0.00010207	0.0036217	1.6587
PGAM1	0.78582	10.963	6.763	0.00010368	0.0036635	1.6424
VEGFB	-1.1982	7.3895	-6.7555	0.00010452	0.0036783	1.634
YWHAQ	1.3537	9.6277	6.7488	0.00010529	0.0036901	1.6264
SEC11A	0.6774	9.2843	6.7391	0.0001064	0.0037143	1.6154
ARRB2	-1.3995	8.9797	-6.7343	0.00010697	0.0037188	1.6099
ABR	-0.71084	8.0893	-6.692	0.00011203	0.003879	1.5617
NR4A3	2.3769	6.8608	6.6563	0.00011649	0.0040177	1.5209
CD63	0.67063	11.038	6.6317	0.00011969	0.0041115	1.4927
PAPOLA	0.7664	7.5747	6.6241	0.00012069	0.0041195	1.4841
MGMT	-0.98921	6.1758	-6.6227	0.00012088	0.0041195	1.4824
RP2	1.354	8.8409	6.6101	0.00012257	0.0041605	1.468
SORBS3	-1.2378	7.8742	-6.5963	0.00012445	0.004208	1.452
ASNS	1.7756	5.6193	6.5786	0.00012691	0.0042744	1.4316
BASP1	1.1726	8.5885	6.5696	0.00012819	0.0042784	1.4212
METTL7A	-2.3573	7.2104	-6.5692	0.00012825	0.0042784	1.4207
MCFD2	1.4827	6.3514	6.5621	0.00012925	0.0042784	1.4126
ENO2	1.1983	6.1104	6.5552	0.00013025	0.0042784	1.4045
TSC22D3	1.5052	7.9291	6.5531	0.00013055	0.0042784	1.4021
TIMP2	-0.71359	8.3448	-6.5528	0.0001306	0.0042784	1.4018
CDKN1A	1.4253	9.971	6.5515	0.00013079	0.0042784	1.4002
CCRL2	1.7046	9.5429	6.5482	0.00013126	0.0042784	1.3965
RNASE2	1.3911	6.6017	6.5466	0.0001315	0.0042784	1.3946
RBPJ	1.1652	9.0741	6.5353	0.00013317	0.0042797	1.3814
PHF2	-0.98768	6.786	-6.5332	0.00013348	0.0042797	1.379
ANXA2P1	0.95414	8.6187	6.5331	0.0001335	0.0042797	1.3789
TRAPPC6A	-0.69983	7.472	-6.5329	0.00013352	0.0042797	1.3786
ENG	-1.3284	8.5998	-6.519	0.0001356	0.0043188	1.3625
SLC25A1	-1.0424	7.7273	-6.5181	0.00013575	0.0043188	1.3614
AP2B1	-0.94673	6.9742	-6.5134	0.00013645	0.0043253	1.356
PLEC	-1.4587	7.8149	-6.5079	0.00013729	0.0043359	1.3496
ZZEF1	-1.0816	6.5996	-6.4945	0.00013937	0.0043854	1.334
SPRY2	2.6465	5.7034	6.4729	0.00014278	0.0044729	1.3087
TMEM259	-1.1116	7.1723	-6.4704	0.00014318	0.0044729	1.3058
DNMT1	-1.0964	8.0033	-6.4671	0.0001437	0.004473	1.302
ARID5B	2.3033	8.2387	6.4579	0.0001452	0.0045032	1.2912
GANAB	-1.1341	9.0576	-6.4532	0.00014596	0.0045107	1.2857
SIVA1	-0.85064	7.6677	-6.4496	0.00014656	0.0045129	1.2814
ATP9B	-0.76942	5.9092	-6.4325	0.0001494	0.0045842	1.2613
STRN3	1.6059	6.7232	6.4227	0.00015106	0.0046185	1.2499
ATP6V0A1	-0.74081	8.1561	-6.4139	0.00015257	0.0046481	1.2395
ATP5D	-0.6488	7.9986	-6.3995	0.00015507	0.0046902	1.2225
SLC20A1	1.3393	8.4167	6.3956	0.00015574	0.0046902	1.218
ATG12	0.82759	6.6435	6.3921	0.00015636	0.0046902	1.2138
TES	1.2726	7.3551	6.3906	0.00015662	0.0046902	1.2121
MIF	1.4917	10.274	6.3904	0.00015667	0.0046902	1.2118
MEGF8	-0.59269	3.776	-6.383	0.00015798	0.004701	1.203
TCF25	-0.84208	7.3338	-6.3794	0.00015862	0.004701	1.1988
NME3	-0.77266	7.2311	-6.3789	0.00015871	0.004701	1.1983
CST3	-0.72936	8.5181	-6.3761	0.00015921	0.004701	1.1949
SH3GL1	-0.96334	6.6234	-6.3722	0.00015992	0.004701	1.1903
SLC4A2	-0.53245	8.0308	-6.3698	0.00016037	0.004701	1.1874
EIF3F	-0.70453	8.9787	-6.3652	0.0001612	0.004701	1.182
SERPING1	1.2297	9.3666	6.3641	0.00016139	0.004701	1.1807
CXCL9	2.2614	5.9991	6.3554	0.00016299	0.0047318	1.1704
TBL3	-0.63242	6.2518	-6.3514	0.00016374	0.0047376	1.1656
RRN3P2	0.83502	5.3245	6.3425	0.00016541	0.0047698	1.1551
BAG6	-0.49922	8.6596	-6.3314	0.00016749	0.0048138	1.142
PHB2	-1.0455	8.0403	-6.3256	0.0001686	0.0048292	1.1351
QPCT	0.9388	6.7154	6.3228	0.00016915	0.0048292	1.1317
PCGF1	-0.616	6.3257	-6.3089	0.00017185	0.0048899	1.1152
SUCLG2	-0.78202	3.8184	-6.2983	0.00017395	0.0049335	1.1025
ENTPD6	-0.8535	7.9622	-6.2847	0.00017667	0.0049944	1.0862
CHMP2B	0.9814	6.0046	6.2684	0.00017998	0.0050713	1.0668
NAAA	-0.96628	7.1194	-6.2639	0.00018091	0.0050756	1.0614
ILK	-1.0042	8.0562	-6.2602	0.00018169	0.0050756	1.0569
MAPK3	-0.92313	7.0497	-6.2592	0.0001819	0.0050756	1.0557
CREBBP	0.92276	6.4703	6.2523	0.00018334	0.0050991	1.0475
PAN2	-1.0051	5.3772	-6.2446	0.00018497	0.005128	1.0382
CIR1	1.4391	6.1122	6.238	0.00018638	0.0051506	1.0303
SMPD1	-0.77907	6.6442	-6.2168	0.00019097	0.0052585	1.0049
CEBPD	-2.5773	8.1804	-6.2121	0.00019202	0.0052585	0.99916
DAP	-0.65407	8.3947	-6.2094	0.00019261	0.0052585	0.99592
ITPR2	-0.69395	5.7232	-6.2089	0.00019273	0.0052585	0.99529
NPC1	1.3337	8.9814	6.2061	0.00019334	0.0052586	0.99199
BNIP2	0.77266	8.9129	6.1809	0.00019905	0.0053943	0.96152
TXN	1.932	10.802	6.1783	0.00019966	0.0053943	0.95836
CNPY3	-1.9936	5.7364	-6.1759	0.00020021	0.0053943	0.95548
H1FX	-1.4484	7.5645	-6.1709	0.00020138	0.005409	0.94938
PRNP	0.69703	8.6632	6.1519	0.00020586	0.0055074	0.92636
RNF139	0.71358	5.9093	6.1473	0.00020695	0.0055074	0.92085
LILRB5	-0.92751	6.1116	-6.147	0.00020702	0.0055074	0.92047
TUFM	-0.96421	8.2585	-6.1445	0.00020763	0.0055074	0.91741
BTG1	1.5153	9.9803	6.142	0.00020824	0.0055074	0.91436
AP1S2	-1.1921	9.0466	-6.1301	0.00021113	0.0055521	0.89991
PLXNC1	-1.2167	8.0784	-6.1285	0.00021153	0.0055521	0.89796
CSTF2T	-0.57271	4.0774	-6.1269	0.00021191	0.0055521	0.89607
MMD	-1.5594	5.5352	-6.1245	0.0002125	0.0055521	0.89315
SIPA1	-1.0049	6.7495	-6.0853	0.00022246	0.0057849	0.84525
CREB1	-1.0018	6.4621	-6.0832	0.000223	0.0057849	0.84272
TSR3	-0.64114	7.0622	-6.0816	0.00022342	0.0057849	0.84071
ASCC2	-0.50441	7.33	-6.0785	0.00022424	0.0057885	0.83692
DHX57	-0.69577	4.1376	-6.0756	0.00022499	0.0057906	0.83341
PIM1	1.7611	9.1087	6.0697	0.00022654	0.0058132	0.82622
JADE2	-0.75351	7.0784	-6.0526	0.00023112	0.0059032	0.80527
PRPF6	-0.58188	7.4546	-6.0501	0.00023181	0.0059032	0.80217
COPS2	0.66018	5.6418	6.0467	0.00023274	0.0059032	0.79795
ATP6V0C	-1.0528	11.002	-6.0465	0.00023279	0.0059032	0.79776
MRPS18B	-1.3604	6.557	-6.0349	0.00023599	0.0059274	0.78347
PTPRE	1.689	9.2551	6.0337	0.0002363	0.0059274	0.78208
CD101	-1.2978	5.4496	-6.0318	0.00023684	0.0059274	0.7797
UPP1	2.245	8.693	6.0312	0.000237	0.0059274	0.77899
TRIM26	-0.63036	7.4793	-6.0302	0.00023729	0.0059274	0.7777
ST8SIA4	-1.2249	4.3909	-6.0281	0.00023787	0.0059274	0.77517
GCA	-0.93583	4.4098	-6.0205	0.00024002	0.0059576	0.76573
PIN1	-1.039	6.556	-6.0189	0.00024046	0.0059576	0.76382
CAT	-1.6747	7.6468	-6.0159	0.00024131	0.0059614	0.76014
MKLN1	0.78845	6.2611	6.0028	0.00024506	0.006028	0.74397
ELF1	0.75792	7.5124	6.0017	0.0002454	0.006028	0.74255
CNOT3	-1.2	6.0887	-5.9925	0.00024808	0.0060742	0.73119
