ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002687	positive regulation of leukocyte migration	40/2551	128/18670	2.192e-07	6.379e-06	3.889e-06	CMKLR1/GPSM3/VEGFB/MAPK3/CD99/TNFRSF14/VEGFA/AIF1/TNFSF14/CCL7/CCR7/OXSR1/MMP14/ADAM8/THBS1/CCL20/ADAM10/LGMN/GAS6/SWAP70/RHOA/FPR2/NCKAP1L/MAPK14/PLA2G7/PTAFR/IL1R1/CCR6/CXCL8/MADCAM1/FADD/LGALS9/CXCL13/XCL1/CXCL12/CCL3/PTN/RAC1/CSF1/ADAM17	40
BP	GO:0010212	response to ionizing radiation	44/2551	147/18670	2.213e-07	6.41e-06	3.908e-06	ANXA1/ATM/MTA1/MGMT/CDKN1A/TP53/GPX1/CASP3/GADD45A/NET1/CCL7/HSF1/NAMPT/PML/TANK/HRAS/CLK2/PRKDC/SPIDR/INTS3/BAK1/MAPK14/GRB2/STK11/RAD9A/CCND1/EEF1D/PARP1/BLM/PRKAA1/XRCC5/XRCC6/RAD51AP1/ERCC1/LIG4/MEN1/DNM2/GTF2H5/MSH2/RAD51/ATR/ALAD/KAT5/KDM1A	44
BP	GO:0071241	cellular response to inorganic substance	58/2551	217/18670	2.35e-07	6.728e-06	4.102e-06	FBP1/ADD1/JUN/ATF4/CYP1A1/MAPK3/PRNP/CREB1/MT1X/CRHBP/AKT1/CEBPA/MT1E/MT1A/CPNE1/HFE/MMP9/MT1B/HSF1/EIF4A3/CLIC4/PPIF/PTGS2/NCSTN/MT1F/MT1H/CPNE3/MT2A/SUMO1/SPIDR/LGMN/BMP6/HNRNPD/HMOX1/CFLAR/CDK2/ATP7A/BAD/CHUK/PARP1/BLM/MEF2A/ANXA5/DDX11/PRKAA1/ALOX15/AIFM1/LIG4/ALOX5AP/DNM2/ID2/DLG4/CCNA2/SYT11/ALAD/NFE2L2/CCNB1/MMP3	58
BP	GO:0032392	DNA geometric change	38/2551	119/18670	2.35e-07	6.728e-06	4.102e-06	ANXA1/DDB1/CHD1/MCM5/RECQL/DDX3X/TP53/CUL4B/RPA1/DHX9/RFC5/XPA/MCM9/GTF2H2/MCM2/DHX30/UBC/RAD54L2/CHD3/CUL4A/RFC2/GTF2H4/SETX/GINS1/XPC/PARP1/BLM/RPS27A/RAD23B/DDX11/XRCC5/XRCC6/MCM6/RECQL5/RTEL1/GTF2H5/SMARCA1/RAD51	38
BP	GO:0019319	hexose biosynthetic process	32/2551	92/18670	2.355e-07	6.728e-06	4.102e-06	FBP1/DDB1/ATF4/PGAM1/ENO2/SLC25A1/SORD/ATF3/ARPP19/ADIPOQ/PER2/CRY1/SLC37A4/FAM3A/CLK2/PC/ENO1/SLC25A11/AKR1B1/CHST15/PGK1/GCG/TPI1/KAT2A/FOXK2/KAT2B/PDK2/DGKQ/SLC25A13/GPD2/PPARA/RBP4	32
BP	GO:0032508	DNA duplex unwinding	36/2551	110/18670	2.447e-07	6.959e-06	4.242e-06	ANXA1/DDB1/CHD1/MCM5/RECQL/DDX3X/CUL4B/RPA1/DHX9/RFC5/XPA/MCM9/GTF2H2/MCM2/DHX30/UBC/RAD54L2/CHD3/CUL4A/RFC2/GTF2H4/SETX/GINS1/XPC/PARP1/BLM/RPS27A/RAD23B/DDX11/XRCC5/XRCC6/MCM6/RECQL5/RTEL1/GTF2H5/RAD51	36
BP	GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	28/2551	75/18670	2.458e-07	6.959e-06	4.242e-06	NCF4/PSMB4/ITGB5/PSME3/PSMB3/PSMD3/PSMB9/PSMD11/TAP1/PSMA1/SNAP23/IKBKB/SEC22B/PSME1/PSMD14/CHUK/VAMP8/PSMC6/PSMA3/PDIA3/PSMC1/PSMB1/CD36/PSMA4/HLA-A/PSMC4/PSMD13/PSMD8	28
BP	GO:0106106	cold-induced thermogenesis	43/2551	143/18670	2.625e-07	7.364e-06	4.489e-06	GATM/CMKLR1/ATF4/RHEB/RBPJ/CNOT3/SCD/TFE3/DDIT3/VEGFA/ID1/HADH/UCP2/CAV1/HSF1/ADIPOQ/PER2/STAT6/IL15/SYK/G0S2/ALDH1A1/ZNF516/GNAS/ADIPOR2/CEBPB/IP6K1/PEMT/STK11/RB1/KDM6B/GRB10/ADCYAP1/DYNC1H1/CD36/ARNTL/ZBTB7B/FABP5/ACOT13/ZNF423/DIO2/ADAM17/KDM1A	43
BP	GO:0120161	regulation of cold-induced thermogenesis	43/2551	143/18670	2.625e-07	7.364e-06	4.489e-06	GATM/CMKLR1/ATF4/RHEB/RBPJ/CNOT3/SCD/TFE3/DDIT3/VEGFA/ID1/HADH/UCP2/CAV1/HSF1/ADIPOQ/PER2/STAT6/IL15/SYK/G0S2/ALDH1A1/ZNF516/GNAS/ADIPOR2/CEBPB/IP6K1/PEMT/STK11/RB1/KDM6B/GRB10/ADCYAP1/DYNC1H1/CD36/ARNTL/ZBTB7B/FABP5/ACOT13/ZNF423/DIO2/ADAM17/KDM1A	43
BP	GO:0062013	positive regulation of small molecule metabolic process	45/2551	153/18670	2.833e-07	7.914e-06	4.825e-06	P2RY6/IGF1/ANXA1/PFKFB3/POR/DDB1/ADORA2B/NR4A3/PPARG/HRH1/PINK1/AKT1/COMT/ARPP19/ABCD1/ADM/IFNG/ARNT/PMAIP1/ADIPOQ/EPM2AIP1/PTGS2/ENO1/BMP6/IRS1/ZBTB20/PDGFB/PTAFR/PFKFB2/PHKG2/FGF1/SREBF1/PGK1/GCG/PRKAA1/KAT2A/KAT2B/AKT2/ELOVL5/ABCG1/ISCU/PPARA/CCNB1/CDK1/TMSB4X	45
BP	GO:0051235	maintenance of location	79/2551	330/18670	2.885e-07	8.022e-06	4.891e-06	S100A8/P2RY6/CD4/GAA/EZR/DIAPH1/HK2/CXCL9/ITPR2/TXN/PPARG/OS9/SUN2/PINK1/RANGAP1/AKT1/PLCB3/PLIN2/KDELR1/DDIT3/GM2A/ABL1/PPARD/FLNB/CAV1/HTR2B/CCR7/ANXA6/PLCB2/RER1/GPAA1/PDE4D/PML/SCARB1/CRY1/TLN1/FTO/SREBF2/CEMIP/OSBPL8/GSTO1/DGAT1/PLN/LPL/CCR5/GPSM2/MYO5A/HTT/SYNE2/ITPR3/AP3D1/TMSB10/ANXA5/NFKBIL1/ARL2/CORO1A/IKBKE/MXI1/MORC3/ENPP1/CRP/LCK/FASLG/S100A9/FTH1/JUP/CD36/ABCG1/ABHD5/XCL1/YWHAB/FTL/CCL3/PPARA/ATP7B/VPS13D/MSR1/TMSB4X/F2R	79
BP	GO:0032640	tumor necrosis factor production	47/2551	163/18670	2.975e-07	8.2e-06	4.999e-06	IGF1/GSTP1/ACP5/UBE2J1/ARRB2/MIF/TYROBP/TRIM27/CD33/DHX9/CACTIN/AZU1/CD2/CD14/TNFAIP3/IFNG/HSF1/ADIPOQ/SASH3/THBS1/SPHK2/SYK/SLAMF1/CLU/GAS6/LPL/ZBTB20/PTAFR/GPNMB/GPR18/AXL/LY96/NFKBIL1/FADD/LGALS9/PTPN22/ARHGEF2/SIRPA/CD36/FZD5/SYT11/PTPRJ/CCL3/AKAP8/IL27RA/TLR1/RASGRP1	47
BP	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	47/2551	163/18670	2.975e-07	8.2e-06	4.999e-06	IGF1/GSTP1/ACP5/UBE2J1/ARRB2/MIF/TYROBP/TRIM27/CD33/DHX9/CACTIN/AZU1/CD2/CD14/TNFAIP3/IFNG/HSF1/ADIPOQ/SASH3/ADAM8/THBS1/SYK/SLAMF1/CLU/GAS6/LPL/ZBTB20/PTAFR/GPNMB/GPR18/AXL/LY96/NFKBIL1/FADD/LGALS9/PTPN22/ARHGEF2/SIRPA/CD36/FZD5/SYT11/PTPRJ/CCL3/AKAP8/IL27RA/TLR1/RASGRP1	47
BP	GO:0071706	tumor necrosis factor superfamily cytokine production	48/2551	168/18670	3.021e-07	8.291e-06	5.055e-06	IGF1/GSTP1/ACP5/UBE2J1/ARRB2/MIF/TYROBP/TRIM27/CD33/DHX9/CACTIN/AZU1/CD2/CD14/TNFAIP3/IFNG/HSF1/ADIPOQ/SASH3/ADAM8/THBS1/SPHK2/SYK/SLAMF1/CLU/GAS6/LPL/ZBTB20/PTAFR/GPNMB/GPR18/AXL/LY96/NFKBIL1/FADD/LGALS9/PTPN22/ARHGEF2/SIRPA/CD36/FZD5/SYT11/PTPRJ/CCL3/AKAP8/IL27RA/TLR1/RASGRP1	48
BP	GO:0001659	temperature homeostasis	49/2551	173/18670	3.051e-07	8.338e-06	5.083e-06	GATM/CMKLR1/ATF4/RHEB/RBPJ/CNOT3/SCD/GPX1/TFE3/DDIT3/VEGFA/ID1/HADH/UCP2/CAV1/HSF1/ADIPOQ/PER2/STAT6/IL15/SYK/PTGS2/FTO/G0S2/ALDH1A1/ZNF516/GNAS/ADIPOR2/CEBPB/PTGER3/IP6K1/PEMT/STK11/TNFSF11/RB1/KDM6B/GRB10/ADCYAP1/DYNC1H1/CD36/ARNTL/ZBTB7B/FABP5/TNFRSF11A/ACOT13/ZNF423/DIO2/ADAM17/KDM1A	49
BP	GO:0010950	positive regulation of endopeptidase activity	50/2551	178/18670	3.067e-07	8.345e-06	5.087e-06	S100A8/GRAMD4/CRADD/DAP/PPARG/DDX3X/FYN/DAPK1/CASP4/HIP1/PSME3/PMAIP1/HSF1/NLRP3/PML/SYK/MALT1/CTSD/FAS/P2RX1/LGMN/F3/PSME1/RHOA/BAK1/BAD/PSMD14/CYCS/CYFIP2/CASP10/TNFSF10/AIM2/PPM1F/ROBO1/PDCD6/AIFM1/FADD/ADRM1/CTSH/LGALS9/LCK/FASLG/S100A9/TRADD/HSPD1/BCAP31/EPHA4/ROCK2/NLRP1/F2R	50
BP	GO:0048608	reproductive structure development	97/2551	431/18670	3.12e-07	8.453e-06	5.154e-06	SPP1/ANXA1/TRIM28/MEA1/ATM/PHLDA2/BSG/ADAM19/EIF2S2/TMED2/CRIP1/SRD5A1/NUDT1/HES1/ARRB2/BASP1/RBPJ/ARID5B/MAPK3/PPARG/NCOA4/AKT1/CEBPA/VEGFA/GATA6/EIF2B5/CASP3/PATZ1/PPARD/ADM/TIPARP/ARNT/RXRA/SPINT2/HSF1/HSP90AB1/MMP14/MED1/HSD17B4/PTK2/ADA/PTGS2/RHOBTB3/CEBPB/BMP6/BAK1/RTCB/PDGFB/KMT2B/MAPK14/EREG/GRB2/FSHB/AXL/ASCL2/KDM5B/FGF9/STK11/TP63/PTX3/CCND1/IDH1/CSF2/TNFSF10/CTNNB1/MAP2K1/PSAP/BMP5/ARID4B/EIF2B2/ERCC1/INHBA/NSDHL/TGFB2/ARID1A/ARID4A/ADCYAP1/MEN1/AFP/MAP3K4/MERTK/MME/FANCA/FZD5/CUL7/MSH2/EIF2B4/FOXO3/ITGB8/VASH1/HTRA1/PTN/TFAP2C/RBP4/CYP27B1/LRP6/SALL1	97
BP	GO:0006900	vesicle budding from membrane	34/2551	102/18670	3.205e-07	8.609e-06	5.249e-06	SERPINA1/S100A10/ANKRD28/TMED2/RAB1A/MCFD2/TRAPPC6A/CTSC/GBF1/ARFGAP3/SEC24C/VAPA/AREG/SEC22B/PRKCI/TRAPPC3/AP3D1/SAR1A/ARFGAP2/GOSR2/GORASP1/AP2M1/PDCD6/CTSZ/SEC24B/F5/SEC16A/DNM2/SLC2A4/SEC24A/GOLGA2/DNM1/SCFD1/NAPA	34
BP	GO:2000379	positive regulation of reactive oxygen species metabolic process	34/2551	102/18670	3.205e-07	8.609e-06	5.249e-06	GSTP1/GNAI2/CDKN1A/TP53/TYROBP/ITGAM/AKT1/AIF1/IFNG/GADD45A/HSP90AB1/THBS1/SYK/PTGS2/RNF41/KLF4/CLU/ZNF205/RAB27A/MTOR/ITGB2/FPR2/HSP90AA1/PDGFB/MAPK14/PRKCD/GRB2/PTX3/NNT/CRP/DNM2/CD36/FOXO3/NFE2L2	34
BP	GO:0002791	regulation of peptide secretion	109/2551	500/18670	3.235e-07	8.653e-06	5.275e-06	ERP29/S100A8/IGF1/EZR/ANXA1/CSF1R/IDH2/MIF/MAPK3/ITPR2/ARF6/CRHBP/TRIM27/IL1R2/RHBDD3/CD33/DHX9/TNFRSF14/HADH/ABL1/TCIRG1/CD2/CDK16/KIF5B/AIF1/SLC25A6/HFE/PFKL/TLR5/PPARD/GBP1/CD14/TNFAIP3/IFNG/HTR2B/C5/FN1/LRP1/CCR7/IL1RAP/PPP1R11/TNFRSF21/NLRP3/PER2/PML/ADAM8/CRTAM/SYK/RSAD2/XBP1/ITSN1/HMGN3/GAS6/BMP6/IRS1/LPL/FGR/MMP12/MAPK14/IFNA2/UNC13B/ITPR3/PFKFB2/ENSA/TNFSF11/BAD/CHUK/IRF3/SREBF1/MAP4K4/GCG/ANXA5/FCN1/AIM2/ARL2/CD22/FGG/TGFB2/NADK/CD200/ADCYAP1/FOXA2/LGALS9/CRP/PTPN22/SEC24A/GLMN/EXPH5/TRAF6/FZD5/GJA5/KCNN4/ARNTL/TRH/SYT11/HYAL2/ABCG1/IL1RL1/CCL3/IL27RA/TLR1/RAC1/RASGRP1/TMSB4X/NLRP1/F2R/RBP4/SLC2A2/ANKRD1	109
BP	GO:2001056	positive regulation of cysteine-type endopeptidase activity	44/2551	149/18670	3.376e-07	8.992e-06	5.482e-06	S100A8/GRAMD4/CRADD/DAP/PPARG/DDX3X/FYN/DAPK1/CASP4/HIP1/PMAIP1/HSF1/NLRP3/PML/SYK/MALT1/CTSD/FAS/P2RX1/LGMN/F3/RHOA/BAK1/BAD/CYCS/CYFIP2/CASP10/TNFSF10/AIM2/PPM1F/ROBO1/PDCD6/AIFM1/FADD/CTSH/LGALS9/LCK/FASLG/S100A9/TRADD/HSPD1/BCAP31/NLRP1/F2R	44
BP	GO:0006296	nucleotide-excision repair, DNA incision, 5'-to lesion	18/2551	37/18670	3.411e-07	9.045e-06	5.514e-06	DDB1/CUL4B/RPA1/RFC5/XPA/GTF2H2/ERCC4/UBC/PCNA/CUL4A/RFC2/GTF2H4/PARP1/POLD1/RPS27A/POLD4/ERCC1/GTF2H5	18
BP	GO:0016049	cell growth	106/2551	484/18670	3.707e-07	9.747e-06	5.942e-06	FBP1/S100A8/SPP1/ARHGAP4/IGF1/IFRD1/SERTAD2/HDAC6/GDI1/CDKN1A/MEGF8/ILK/BTG1/SIPA1/PIN1/PPARG/DDX3X/TP53/AKT1/PPP2R1A/ARHGEF11/LAMB2/VEGFA/ITGB1/AKAP13/RAB21/ABL1/EIF4G2/CPNE1/FHL1/RUFY3/PPARD/NET1/CYFIP1/FN1/ADNP2/LRP1/ITCH/GOLGA4/HSP90AB1/MMP14/ALCAM/PML/SPHK2/CDC42/ENO1/IGFBP4/ADAM10/RTN4/SPG11/OGFR/NRP2/ADIPOR2/GSK3A/MTOR/RHOA/PRKCQ/HSP90AA1/SRF/NDN/EPHA7/STK11/PARP2/EBAG9/NUBP1/RB1/CYFIP2/YY1/CTNNB1/HSPA1B/BAP1/NDEL1/ULK2/EXOSC2/RNF6/INHBA/DNPH1/CDKN2A/TGFB2/BST2/PPT1/ENPP1/DNM2/MACF1/S100A9/RGS2/ITSN2/CSNK2A1/NEDD4L/RPS6KA3/CEACAM1/EMX1/SEMA3C/PTPRJ/HYAL2/RYK/CXCL12/GAL/PPARA/LHX2/NDUFS3/KIF14/ADAM17/CYP27B1/TRIM32/BLZF1	106
BP	GO:0022604	regulation of cell morphogenesis	106/2551	484/18670	3.707e-07	9.747e-06	5.942e-06	EPHB2/SPP1/ARHGAP4/EZR/DIAPH1/ANXA1/CSF1R/IFRD1/ARAP1/ARHGDIA/S100A10/RHOG/HCK/GDI1/PLXND1/CAPZB/MEGF8/ILK/PLXNC1/MKLN1/RAPGEF2/FYN/CDC42EP3/CFL1/FMNL1/VEGFA/STK25/ID1/RAB21/ABL1/RHOQ/PARVB/RUFY3/GBP1/RAP2A/FES/CYFIP1/FN1/ZMYM3/CCL7/LRP1/GOLGA4/PLXNB2/ITGA7/ARC/RHOH/PTK2/CDC42/CDC42EP1/RHOBTB3/ZMYM4/ADAM10/RTN4/FGR/RHOA/ITGB2/ARHGAP35/SRF/RHOC/ARHGEF18/CUX1/EPB41/SKIL/EPHA7/STK11/NEDD9/ARPC2/GNA12/GORASP1/RDX/S100B/MAP2K1/NDEL1/ULK2/CAPRIN1/ROBO1/RNF6/CDC42EP4/CD44/TUBB2B/FGG/CORO1A/QRICH1/DNM2/TLX2/MACF1/CCL2/ITSN2/MYH9/NEDD4L/DVL3/DLG4/ACTN4/FERMT2/SPTA1/MARK2/CUL7/SEMA3C/YWHAH/TRIOBP/RYK/CXCL12/CCL3/PTN/EPHA4/RAC1	106
BP	GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	38/2551	121/18670	3.791e-07	9.927e-06	6.052e-06	JUN/DNAJB1/ATF4/RBPJ/CREBBP/TP53/ATF3/DDIT3/VEGFA/PSMB4/PSME3/RBL2/ARNT/E2F4/HSF1/PSMB3/PSMD3/PSMB9/PSMD11/PSMA1/CEBPB/UBC/PSME1/HMOX1/PSMD14/CHEK1/RPS27A/PSMC6/PSMA3/PSMC1/MAPK7/PSMB1/CUL2/PSMA4/PSMC4/NFE2L2/PSMD13/PSMD8	38
BP	GO:0032479	regulation of type I interferon production	39/2551	126/18670	4.079e-07	1.061e-05	6.469e-06	RIOK3/CREBBP/PIN1/DDX3X/DHX9/LRRFIP1/POLR2L/CACTIN/CD14/TNFAIP3/REL/ITCH/STAT6/SYK/PRKDC/NFKB2/ZBTB20/MMP12/POLR2E/IRF1/TAX1BP1/CHUK/IRF3/RELB/YY1/CTNNB1/IRAK1/STAT1/XRCC5/XRCC6/RNF216/IKBKE/DTX4/UBE2L6/PTPN22/SIRPA/HSPD1/POLR3C/TRIM32	39
BP	GO:0050707	regulation of cytokine secretion	56/2551	210/18670	4.086e-07	1.061e-05	6.469e-06	EZR/ANXA1/CSF1R/MIF/MAPK3/TRIM27/IL1R2/DHX9/TNFRSF14/ABL1/CD2/AIF1/TLR5/GBP1/CD14/TNFAIP3/IFNG/HTR2B/C5/FN1/LRP1/CCR7/IL1RAP/PPP1R11/TNFRSF21/NLRP3/PML/CRTAM/SYK/XBP1/GAS6/LPL/FGR/MMP12/MAPK14/IFNA2/CHUK/IRF3/FCN1/AIM2/CD200/LGALS9/CRP/PTPN22/GLMN/FZD5/SYT11/HYAL2/IL1RL1/CCL3/IL27RA/TLR1/RASGRP1/TMSB4X/NLRP1/F2R	56
BP	GO:1905269	positive regulation of chromatin organization	34/2551	103/18670	4.162e-07	1.075e-05	6.553e-06	TRIM28/WBP2/ATM/DNMT1/MAPK3/TP53/PINK1/VEGFA/RPS6KA4/TADA2A/RNF40/SPHK2/SETDB1/MYB/JARID2/PRKD2/MTF2/CTBP1/SNW1/SREBF1/CTNNB1/GCG/PHF1/MPHOSPH8/LMNA/KAT2A/TPR/PRKD1/MORC2/ZBTB7B/AKAP8/CCNB1/PAF1/KDM1A	34
BP	GO:0050867	positive regulation of cell activation	90/2551	394/18670	4.173e-07	1.075e-05	6.553e-06	CD4/IGF1/ANXA1/SART1/VAV1/HLA-DMB/CD55/ADORA2B/BTK/HES1/NR4A3/CDKN1A/MIF/TYROBP/ITGAM/FYN/AKT1/CTSC/DUSP10/CEBPA/CD83/TNFRSF14/CD2/AIF1/TNFSF14/CD80/INPP5D/CAV1/IFNG/GPR183/CCR7/TRBC1/SASH3/NLRP3/STAT6/MMP14/ADAM8/IL15/CSK/THBS1/SPHK2/SYK/ADA/MALT1/PLEK/CDC42/MYB/YES1/HLX/PNP/XBP1/GAS6/FGR/RHOA/ITGB2/PRKCQ/NCKAP1L/IL12RB1/PTAFR/FLOT2/GRB2/AXL/LILRB4/TNFSF11/ZBTB1/AP3D1/BAD/MAP3K8/VAMP8/BST1/CD27/ICOS/CD28/CORO1A/FADD/LGALS9/LCK/CCL2/SIRPA/SPTA1/TRAF6/HSPD1/MSH2/LGALS1/XCL1/IL1RL1/CCL3/ZBTB7B/RAC1/RASGRP1	90
BP	GO:0032680	regulation of tumor necrosis factor production	46/2551	160/18670	4.345e-07	1.115e-05	6.795e-06	IGF1/GSTP1/ACP5/UBE2J1/ARRB2/MIF/TYROBP/TRIM27/CD33/DHX9/CACTIN/AZU1/CD2/CD14/TNFAIP3/IFNG/HSF1/ADIPOQ/SASH3/THBS1/SYK/SLAMF1/CLU/GAS6/LPL/ZBTB20/PTAFR/GPNMB/GPR18/AXL/LY96/NFKBIL1/FADD/LGALS9/PTPN22/ARHGEF2/SIRPA/CD36/FZD5/SYT11/PTPRJ/CCL3/AKAP8/IL27RA/TLR1/RASGRP1	46
BP	GO:0061458	reproductive system development	97/2551	434/18670	4.372e-07	1.117e-05	6.809e-06	SPP1/ANXA1/TRIM28/MEA1/ATM/PHLDA2/BSG/ADAM19/EIF2S2/TMED2/CRIP1/SRD5A1/NUDT1/HES1/ARRB2/BASP1/RBPJ/ARID5B/MAPK3/PPARG/NCOA4/AKT1/CEBPA/VEGFA/GATA6/EIF2B5/CASP3/PATZ1/PPARD/ADM/TIPARP/ARNT/RXRA/SPINT2/HSF1/HSP90AB1/MMP14/MED1/HSD17B4/PTK2/ADA/PTGS2/RHOBTB3/CEBPB/BMP6/BAK1/RTCB/PDGFB/KMT2B/MAPK14/EREG/GRB2/FSHB/AXL/ASCL2/KDM5B/FGF9/STK11/TP63/PTX3/CCND1/IDH1/CSF2/TNFSF10/CTNNB1/MAP2K1/PSAP/BMP5/ARID4B/EIF2B2/ERCC1/INHBA/NSDHL/TGFB2/ARID1A/ARID4A/ADCYAP1/MEN1/AFP/MAP3K4/MERTK/MME/FANCA/FZD5/CUL7/MSH2/EIF2B4/FOXO3/ITGB8/VASH1/HTRA1/PTN/TFAP2C/RBP4/CYP27B1/LRP6/SALL1	97
BP	GO:1905330	regulation of morphogenesis of an epithelium	50/2551	180/18670	4.45e-07	1.132e-05	6.903e-06	ARRB2/AP2B1/PHB2/CELSR1/AP2S1/PFN1/VEGFA/PSMB4/ABL1/FZD2/PSME3/RXRA/PSMB3/PSMD3/PSMB9/PSMD11/PSMA1/CDC42/MTOR/PSME1/RHOA/HGF/FZD7/MAGED1/PDGFA/GPC4/PSMD14/FGF1/DAAM1/CTNNB1/STAT1/AP2M1/PSMC6/PSMA3/SEC24B/PSMC1/FGFR1/DVL3/AP2A2/PSMB1/FZD5/PSMA4/FGF7/RYK/CLASP1/FZD6/PSMC4/RAC1/PSMD13/PSMD8	50
BP	GO:0032869	cellular response to insulin stimulus	57/2551	216/18670	4.703e-07	1.192e-05	7.267e-06	GSTP1/GNAI2/TSC2/SRD5A1/ATP6V0A1/ATP6V0C/PTPRE/PPARG/AKT1/WDTC1/TCIRG1/RHOQ/CYFIP1/ATP2B1/ADIPOQ/ATP6V1A/AP3S1/PRKDC/APRT/OSBPL8/ATP6AP1/XBP1/SOS1/GSK3A/IRS1/LPL/PRKCQ/ATP6V1B2/CFLAR/MYO5A/PRKCD/PRKCI/ATP6V1G1/GRB2/CSRP3/CDK4/PARP1/SREBF1/ATP6V1H/NDEL1/STAT1/PRKAA1/ATP6V1D/ATP6V1E1/GRB10/KAT2B/AKT2/VAMP2/ENPP1/PDK2/SLC2A4/PIK3R2/CEACAM1/ATP6V0E2/FOXO3/ZBTB7B/ATP6V0D1	57
BP	GO:0097530	granulocyte migration	42/2551	141/18670	4.78e-07	1.206e-05	7.355e-06	S100A8/ANXA1/CMKLR1/VAV1/PIP5K1C/CXCL9/MAPK3/HRH1/CD99/MPP1/GBF1/PIK3CD/CCL7/CCR7/IL1RN/PDE4D/ADAM8/THBS1/SYK/PECAM1/CCL20/PPBP/CXADR/ITGB2/NCKAP1L/MAPK14/ITGA1/CSF3R/IL1R1/BST1/CXCL8/TGFB2/CCL2/S100A9/CCL16/CD300A/CXCL13/XCL1/CCL3/S100A12/RAC1/CSF1	42
BP	GO:0043620	regulation of DNA-templated transcription in response to stress	39/2551	127/18670	5.119e-07	1.287e-05	7.846e-06	JUN/DNAJB1/ATF4/RBPJ/CREBBP/TP53/ATF3/DDIT3/VEGFA/PSMB4/PSME3/RBL2/ARNT/E2F4/HSF1/PSMB3/PSMD3/PSMB9/PSMD11/PSMA1/CEBPB/UBC/PSME1/HMOX1/PSMD14/CHEK1/RPS27A/PSMC6/PSMA3/PSMC1/MAPK7/RPS6KA3/PSMB1/CUL2/PSMA4/PSMC4/NFE2L2/PSMD13/PSMD8	39
BP	GO:0042594	response to starvation	52/2551	191/18670	5.236e-07	1.311e-05	7.992e-06	FSTL1/EIF2A/GABARAP/JUN/MAP1LC3B/ATF4/SRD5A1/KLF10/ASNS/CDKN1A/MAPK3/DAP/UPP1/PPARG/TP53/ATF3/DDIT3/COMT/RRAGD/GABARAPL1/HFE/HSPA8/ADM/EHMT2/PMAIP1/SREBF2/FAS/CLEC16A/XBP1/TBC1D5/GAS6/MTOR/WDR45/GCGR/CAD/HNRNPA1/SREBF1/ULK2/PRKAA1/SH3GLB1/FOXK2/ADCYAP1/GABARAPL2/WIPI2/NPRL3/PRKD1/RRP8/FOXO3/PPM1D/NFE2L2/HMGCL/RRAGA	52
BP	GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	40/2551	132/18670	5.417e-07	1.35e-05	8.228e-06	S100A8/GRAMD4/CRADD/DAP/PPARG/DDX3X/DAPK1/CASP4/HIP1/PMAIP1/HSF1/NLRP3/PML/SYK/MALT1/CTSD/FAS/P2RX1/F3/RHOA/BAK1/BAD/CYCS/CASP10/TNFSF10/PPM1F/ROBO1/PDCD6/AIFM1/FADD/CTSH/LGALS9/LCK/FASLG/S100A9/TRADD/HSPD1/BCAP31/NLRP1/F2R	40
BP	GO:0048545	response to steroid hormone	88/2551	385/18670	5.433e-07	1.35e-05	8.228e-06	SPP1/GSTP1/ANXA1/WBP2/HNMT/HDAC6/TADA3/SRD5A1/ARRB2/NR4A3/CDKN1A/ENG/STRN3/PHB2/NPC1/PPARG/NR4A2/TXNIP/NCOA4/NR2C2/ATP1A1/KLF9/CALCOCO1/AKAP13/CASP3/AIF1/DDIT4/TAF7/PPARD/ADM/ZFP36L2/CAV1/RXRA/ATP2B1/IL1RN/ADIPOQ/CNOT1/NR3C1/MED1/HDAC1/BUD31/CRY1/THBS1/PTGS2/KRAS/CDK7/AREG/KDM5D/BMP6/PCNA/RHOA/CFLAR/PTAFR/CAD/TP63/BAD/CCND1/RB1/IDH1/PARP1/SREBF1/S100B/CTNNB1/RNF6/EIF4E/UCP3/AIFM1/TGFB2/RAN/ARID1A/ADCYAP1/LOX/RXRB/CARM1/NR4A1/ARNTL/TRH/FOXO3/YWHAH/ACR/RORA/NR2F1/PTN/ALAD/PPARA/KAT5/PTGER2/NCOR2	88
